Lib	salinity	Depth	Temperature	O2	PO4	SiO2	NO2	NO3	NH4	Tbact	Synechococcus	Chla_Picoeuk.	Latitude	Longitude	Season	Salinity_cat	Depth_cat	Oxy_cat
S1	10.5063	10	16.5551	6.64	0.06	9	0.01	0.08	NA	1080000	113317460.3	1.85	54.4	12.1	Summer	Marine	Surface	intermediate
S10	9.3619	60	5.1197	6.6	NA	NA	NA	NA	NA	5268907.563	2393090.57	NA	55.3	16	Summer	Marine	Hypolimneon	intermediate
S101	6.5331	20	7.2228	7.09	0.15	7.6	0.01	0.02	NA	2810000	43106442.58	0.83	58.1515	17.7365	Summer	Mesohaline	Hypolimneon	intermediate
S104	6.2286	17	6.7952	7.26592	NA	NA	NA	NA	NA	2720000	33041083.1	NA	57.69983333	17.3535	Summer	Mesohaline	Hypolimneon	intermediate
S106	7.4905	55	3.7853	6.95	0.97	15.6	0.25	4.17	NA	919000	2526610.644	NA	57.69983333	17.3535	Summer	Mesohaline	Hypolimneon	intermediate
S107	5.9172	10	14.6283	7.75	0.05	6.3	0.02	0.03	0.25	5030000	108716153.1	3.67	57.69983333	17.3535	Summer	Mesohaline	Surface	intermediate
S109	7.1521	40	3.8798	7.7	0.61	11.4	0.25	1.79	0.86	651000	2393090.57	NA	57.69983333	17.3535	Summer	Mesohaline	Hypolimneon	intermediate
S111	5.6106	10	15.0038	7.77	0	4.9	0.01	0	NA	5110000	126248366	NA	56.76	17.35383333	Summer	Mesohaline	Surface	intermediate
S112	6.0345	20	12.3533	6.36	0.11	6.2	0.01	0	NA	3730000	45109243.7	NA	56.76	17.35383333	Summer	Mesohaline	Hypolimneon	intermediate
S114	7.6611	60	3.8043	5.93	1.15	22.3	0.2	6.84	NA	1310000	6162464.986	NA	56.76	17.35383333	Summer	Mesohaline	Hypolimneon	intermediate
S117	6.5149	40	3.2585	7.15	0.87	15.5	0.22	6.61	NA	513000	1581699.346	NA	56.32	16.95083333	Summer	Mesohaline	Hypolimneon	intermediate
S119	5.0469	10	15.6493	8.04	0.03	3.9	0.01	0.01	NA	8040000	177591970.1	NA	56.32	16.95083333	Summer	Mesohaline	Surface	normal
S12	7.6878	10	15.1384	6.81	0.17	11.8	0.02	0.02	NA	1720000	219250233.4	3.23	55.2	14.4	Summer	Mesohaline	Surface	intermediate
S121	7.7208	60	3.8919	5.11	1.51	25.7	0.09	8.62	NA	2330000	4837535.014	NA	56.32	16.95083333	Summer	Mesohaline	Hypolimneon	intermediate
S125	7.3828	60	3.654	5.5	1.35	23.8	0.1	8.96	0.31	1730000	6450046.685	NA	55.86533333	16.513	Summer	Mesohaline	Hypolimneon	intermediate
S13	8.0156	30	7.9885	6.47	0.45	14.3	0.04	0.01	NA	856000	13742296.92	1.48	55.2	14.4	Summer	Marine	Hypolimneon	intermediate
S132	7.5088	56	3.9226	5.84	1.23	21.3	0.17	5.37	NA	1080000	2896358.543	NA	59.27	22.4	Summer	Mesohaline	Hypolimneon	intermediate
S14	12.0845	40	6.9777	3.57	1.03	28.3	0.32	2.1	NA	904000	14204481.79	NA	55.2	14.4	Summer	Marine	Hypolimneon	low
S140	5.6573	20	12.1743	7.14	-0.03	8.6	0.01	0.04	NA	6630000	195555555.6	NA	59.2858	19.466389	Summer	Mesohaline	Hypolimneon	intermediate
S15	7.6373	10	14.9917	6.94	0.22	13.1	0	0.01	NA	1710000	207582633.1	NA	55.5	14.9	Summer	Mesohaline	Surface	intermediate
