,salinity,Depth,Temperature
0,10.5063,10.0,16.5551
2,6.5331,20.0,7.2228
4,7.4905,55.0,3.7853
5,5.9172,10.0,14.6283
6,7.1521,40.0,3.8798
7,5.6106,10.0,15.0038
8,6.0345,20.0,12.3533
9,7.6611,60.0,3.8043
10,6.5149,40.0,3.2585
11,5.0469,10.0,15.6493
12,7.6878,10.0,15.1384
13,7.7208,60.0,3.8919
14,7.3828,60.0,3.654
15,8.0156,30.0,7.9885
16,7.5088,56.0,3.9226
17,12.0845,40.0,6.9777
18,5.6573,20.0,12.1743
19,7.6373,10.0,14.9917
20,8.36,40.0,6.6635
22,7.582000000000001,60.0,4.7205
23,8.6877,49.0,5.1965
24,12.0641,30.0,13.688
25,13.3055,1.0,17.9171
26,13.9111,10.0,17.6687
27,7.5128,10.0,15.2829
28,27.2267,15.0,10.7138
30,29.851,14.0,9.4706
31,30.5887,24.0,8.7743
33,30.8178,20.0,9.4911
34,17.3777,1.0,19.3831
35,16.9539,20.0,13.3478
36,7.6786,40.0,5.2382
37,23.2834,10.0,15.8889
38,28.5738,20.0,14.5818
39,20.4023,1.0,17.2077
42,26.6409,13.0,14.6162
43,19.1686,1.0,18.2045
44,30.0855,20.0,14.1513
45,11.168,60.0,5.6525
46,33.767,41.0,7.3517
47,23.7792,1.0,17.4289
48,30.9018,20.0,13.7184
49,33.0197,40.0,9.8329
50,34.0577,66.0,7.6032
51,26.9297,1.0,17.0214
52,30.9982,20.0,14.7874
54,32.5112,34.0,14.3081
55,30.6325,1.0,16.5661
56,33.5121,20.0,10.2054
57,35.1656,60.0,7.6167
58,35.1656,100.0,7.6167
59,35.2095,179.0,7.0625
60,30.9177,1.0,16.8693
61,33.8274,20.0,9.7954
62,7.491000000000001,40.0,4.7842
63,8.2662,60.0,4.7918
64,11.2688,70.0,5.9248
65,7.2261,10.0,15.2897
66,7.4746,40.0,4.7532
67,8.3788,70.0,4.7477
68,7.739,10.0,15.4924
69,7.3756,10.0,14.7349
70,7.3935,40.0,4.5664
71,7.4015,40.0,4.4206
72,8.6373,75.0,4.8674
73,11.4799,110.0,6.133999999999999
74,7.2547,10.0,14.7806
76,8.8211,70.0,4.8714
77,7.117000000000001,20.0,6.1901
78,7.4087,48.0,4.3236
79,8.0538,70.0,4.4018
80,6.245,10.0,14.5015
88,5.31,2.0,12.2
89,5.3,10.0,11.3
90,5.9,80.0,2.82
91,5.3133,2.0,12.2091
92,2.5741,2.0,12.2
95,2.8484,2.0,12.2507
99,7.5385,10.0,15.0006
101,4.947,2.0,13.2554
102,5.0908,20.0,8.7467
103,5.4378,40.0,2.5948
104,6.0868,105.0,3.6404
105,4.7709,10.0,12.169
106,23.9692,15.0,4.8854
108,29.2208,25.0,6.2436
109,15.8426,1.0,1.7929
110,30.9544,28.0,6.3651
111,18.6747,1.0,1.5063
112,32.3745,16.0,6.5181
113,29.5207,13.0,5.6096
114,34.2772,21.0,5.6377
115,34.7483,50.0,6.2216
116,20.2144,1.0,0.9987
117,32.2406,13.0,3.1686
118,34.1051,34.0,4.2853
119,34.1041,20.0,5.1401
120,35.0054,60.0,6.2974
121,34.9744,177.0,5.4595
122,26.973,1.0,1.4619
123,34.6663,26.0,6.4239
124,35.0064,100.0,6.9362
125,35.2089,300.0,7.2042
126,19.4498,1.0,1.3022
127,33.4213,20.0,5.3996
128,34.3531,36.0,5.7783
129,31.7703,15.0,5.739
130,8.3866,25.0,2.2897
132,8.3873,25.0,2.5885
133,14.139,42.0,4.5325
134,7.7418,2.0,2.9645
135,7.7472,30.0,2.968
136,7.8607,50.0,3.2792
137,7.7626,2.0,3.0667
138,7.8478,45.0,3.1379
139,7.3813,2.0,2.5518
140,7.409,25.0,2.5761
141,7.1706,1.0,2.5193
142,7.1789,30.0,2.4779
143,7.1953,51.0,2.5443
144,7.1418,1.0,2.6534
145,7.1943,53.0,2.7886
147,7.0949,1.0,2.6765
148,7.1472,50.0,2.4837
149,8.4416,74.0,4.9802
150,7.0068,1.0,2.5573
151,7.0746,58.0,2.3642
152,6.9053,1.0,2.2256
153,7.0063,50.0,2.5672
154,6.4503,1.0,1.7283
155,6.9867,32.0,2.4709
156,7.0636,50.0,2.9183
157,7.0286,52.0,2.8189
158,6.4413,1.0,1.9307
159,6.8431,39.0,2.7137
160,7.6167,61.0,4.2871
161,5.4231,1.0,0.152
162,6.439,50.0,3.5696
163,6.6433,100.0,3.9675
164,7.0525,256.0,5.8008
165,5.449,1.0,1.0094
166,6.2736,113.0,4.295
167,5.5183,1.0,0.9732
168,5.5455,49.0,1.2734
169,5.7164,80.0,3.2123
170,6.3161,130.0,4.5052
171,5.5399,1.0,0.2408
172,5.5486,15.0,0.6334
173,5.5521,20.0,0.7636
174,5.5709,50.0,1.4899
175,5.0864,1.0,-0.081
176,9.0937,70.0,5.5553
177,5.2415,1.0,0.0552
178,5.3045,15.0,0.2895
179,6.2415,35.0,1.3707
180,6.9284,50.0,3.4623
181,9.2898,70.0,5.4465
182,5.8568,15.0,0.8682
183,7.1996,62.0,4.1059
184,6.4232,15.0,1.6065
185,9.1981,65.0,5.6589
186,6.3365,2.0,1.3668
187,6.4353,20.0,1.5345
188,6.5645,45.0,2.0005
189,6.7466,54.0,2.2519
190,6.9965,2.0,2.4857
191,7.042000000000001,40.0,2.4158
192,7.4972,65.0,3.4963
193,7.2293,15.0,3.0086
194,7.2641,60.0,3.127
195,7.327000000000001,2.0,3.131
196,7.329,25.0,3.133
197,8.0,60.0,4.468
198,7.3958,2.5,3.1604
199,7.5639,45.0,3.3302
200,7.5399,1.5,3.4009
201,7.6202,60.0,3.511
202,11.8423,108.0,7.4805
203,7.449,1.0,3.3501
204,7.4688,45.0,3.4081
205,7.5086,1.0,2.8529
206,7.7555,60.0,3.2825
207,7.6214,2.0,3.3118
208,12.2316,70.0,7.7272
209,13.2548,78.0,8.5959
210,7.8562,1.5,3.1992
211,7.7967,30.0,2.8407
212,12.5279,65.0,8.8451
213,13.6383,68.0,9.2965
214,8.1902,20.0,2.4873
215,12.813,42.0,2.6567
216,15.6258,45.0,2.8652
217,8.8387,30.0,2.2641
218,12.6926,40.0,2.6153
222,8.4508,1.0,2.7534
223,12.1742,19.0,2.8374
224,10.1182,5.0,2.604
225,16.1812,19.0,2.964
