,salinity,Depth,Temperature
0,9.3619,60.0,5.1197
1,6.2286,17.0,6.7952
2,10.5077,50.0,6.1362
3,30.7204,27.0,8.2451
4,28.9622,16.0,11.2291
5,21.4669,5.5,16.6596
6,26.9444,10.0,14.4679
7,31.9054,25.0,14.3649
8,11.1378,30.0,13.0663
9,8.5494,70.0,4.6758
10,5.0359,10.0,13.0312
11,4.9346,2.0,13.4807
12,5.823,20.0,5.254
13,6.6221,80.0,3.2698
14,8.4959,50.0,4.9919
15,6.9525,250.0,4.1997
16,14.7458,70.0,6.6723
17,2.6612,7.5,12.7
18,2.8072,10.0,9.0592
19,3.2459,2.0,12.6228
20,3.4693,10.0,11.5917
21,4.7339,30.0,5.0723
22,12.834,1.0,1.6642
23,10.0739,38.0,2.7937
24,9.6479,86.0,5.1879
25,7.9012,1.5,2.7084
26,8.175,20.0,2.4865
27,11.0878,40.0,2.6556
